"Date","Price","Open","High","Low","Vol.","Change %"
"30-06-2021","15,721.50","15,776.90","15,839.10","15,708.75","262.39M","-0.17%"
"29-06-2021","15,748.45","15,807.50","15,835.90","15,724.05","360.33M","-0.42%"
"28-06-2021","15,814.70","15,915.35","15,915.65","15,792.15","255.10M","-0.29%"
"25-06-2021","15,860.35","15,839.35","15,870.80","15,772.30","314.61M","0.44%"
"24-06-2021","15,790.45","15,737.30","15,821.40","15,702.70","316.66M","0.66%"
"23-06-2021","15,686.95","15,862.80","15,862.95","15,673.95","287.54M","-0.54%"
"22-06-2021","15,772.75","15,840.50","15,895.75","15,752.10","322.24M","0.17%"
"21-06-2021","15,746.50","15,525.85","15,765.15","15,505.65","351.53M","0.40%"
"18-06-2021","15,683.35","15,756.50","15,761.50","15,450.90","640.82M","-0.05%"
"17-06-2021","15,691.40","15,648.30","15,769.35","15,616.75","357.65M","-0.48%"
"16-06-2021","15,767.55","15,847.50","15,880.85","15,742.60","340.19M","-0.64%"
"15-06-2021","15,869.25","15,866.95","15,901.60","15,842.40","323.26M","0.36%"
"14-06-2021","15,811.85","15,791.40","15,823.05","15,606.50","392.86M","0.08%"
"11-06-2021","15,799.35","15,796.45","15,835.55","15,749.80","363.01M","0.39%"
"10-06-2021","15,737.75","15,692.10","15,751.25","15,648.50","298.30M","0.65%"
"09-06-2021","15,635.35","15,766.30","15,800.45","15,566.90","457.86M","-0.67%"
"08-06-2021","15,740.10","15,773.90","15,778.80","15,680.00","378.16M","-0.07%"
"07-06-2021","15,751.65","15,725.10","15,773.45","15,678.10","393.97M","0.52%"
"04-06-2021","15,670.25","15,712.50","15,733.60","15,622.35","414.16M","-0.13%"
"03-06-2021","15,690.35","15,655.55","15,705.10","15,611.00","410.24M","0.73%"
"02-06-2021","15,576.20","15,520.35","15,597.45","15,459.85","428.64M","0.01%"
"01-06-2021","15,574.85","15,629.65","15,660.75","15,528.30","409.56M","-0.05%"
"31-05-2021","15,582.80","15,437.75","15,606.35","15,374.00","436.00M","0.95%"
"28-05-2021","15,435.65","15,421.20","15,469.65","15,394.75","455.58M","0.64%"
"27-05-2021","15,337.85","15,323.95","15,384.55","15,272.50","682.37M","0.24%"
"26-05-2021","15,301.45","15,257.05","15,319.90","15,194.95","377.68M","0.61%"
"25-05-2021","15,208.45","15,291.75","15,293.85","15,163.40","417.32M","0.07%"
"24-05-2021","15,197.70","15,211.35","15,256.25","15,145.45","566.72M","0.15%"
"21-05-2021","15,175.30","14,987.80","15,190.00","14,985.85","557.73M","1.81%"
"20-05-2021","14,906.05","15,042.60","15,069.80","14,884.90","467.46M","-0.83%"
"19-05-2021","15,030.15","15,058.60","15,133.40","15,008.85","563.29M","-0.52%"
"18-05-2021","15,108.10","15,067.20","15,137.25","15,043.70","571.92M","1.24%"
"17-05-2021","14,923.15","14,756.25","14,938.00","14,725.35","534.52M","1.67%"
"14-05-2021","14,677.80","14,749.40","14,749.65","14,591.90","602.74M","-0.13%"
"12-05-2021","14,696.50","14,823.55","14,824.05","14,649.70","620.32M","-1.04%"
"11-05-2021","14,850.75","14,789.70","14,900.00","14,771.40","616.20M","-0.61%"
"10-05-2021","14,942.35","14,928.25","14,966.90","14,892.50","510.60M","0.80%"
"07-05-2021","14,823.15","14,816.85","14,863.05","14,765.50","483.68M","0.67%"
"06-05-2021","14,724.80","14,668.35","14,743.90","14,611.50","445.28M","0.73%"
"05-05-2021","14,617.85","14,604.15","14,637.90","14,506.60","437.26M","0.84%"
"04-05-2021","14,496.50","14,687.25","14,723.40","14,461.50","479.66M","-0.94%"
"03-05-2021","14,634.15","14,481.05","14,673.85","14,416.25","443.41M","0.02%"
"30-04-2021","14,631.10","14,747.35","14,855.45","14,601.70","594.74M","-1.77%"
"29-04-2021","14,894.90","14,979.00","15,044.35","14,814.45","511.47M","0.20%"
"28-04-2021","14,864.55","14,710.50","14,890.25","14,694.95","453.99M","1.44%"
"27-04-2021","14,653.05","14,493.80","14,667.55","14,484.85","442.21M","1.16%"
"26-04-2021","14,485.00","14,449.45","14,557.50","14,421.30","448.53M","1.00%"
"23-04-2021","14,341.35","14,326.35","14,461.15","14,273.30","476.61M","-0.45%"
"22-04-2021","14,406.15","14,219.15","14,424.75","14,151.40","516.99M","0.77%"
"20-04-2021","14,296.40","14,526.70","14,526.95","14,207.30","456.70M","-0.44%"
"19-04-2021","14,359.45","14,306.60","14,382.30","14,191.40","503.14M","-1.77%"
"16-04-2021","14,617.85","14,599.60","14,697.70","14,559.00","568.57M","0.25%"
"15-04-2021","14,581.45","14,522.40","14,597.55","14,353.20","556.85M","0.53%"
"13-04-2021","14,504.80","14,364.90","14,528.90","14,274.90","588.67M","1.36%"
"12-04-2021","14,310.80","14,644.65","14,652.50","14,248.70","638.48M","-3.53%"
"09-04-2021","14,834.85","14,882.65","14,918.45","14,785.65","498.35M","-0.26%"
"08-04-2021","14,873.80","14,875.65","14,984.15","14,821.10","503.73M","0.37%"
"07-04-2021","14,819.05","14,716.45","14,879.80","14,649.85","476.38M","0.92%"
"06-04-2021","14,683.50","14,737.00","14,779.10","14,573.90","474.21M","0.31%"
"05-04-2021","14,637.80","14,837.70","14,849.85","14,459.50","500.48M","-1.54%"
"01-04-2021","14,867.35","14,798.40","14,883.20","14,692.45","430.03M","1.20%"